Centroid_ID	Centroid_Lon	Centroid_Lat	Project_ID	Projected_Lon	Projected_Lat	Projected_Distance
0	13.420105	52.512959	5837	13.4196411	52.514961	0.22259360293072378
1	13.454980999999998	52.477553	7929	13.4532076	52.4752971	0.3136911958903798
2	13.449664749999995	52.516822499999996	1731	13.4524614	52.5158843	0.3271071645810468
3	13.41685260869565	52.54672717391304	7406	13.4163713	52.5471689	0.07174237665806077
4	13.38813849358974	52.52763541666667	9053	13.3884627	52.5274079	0.0436500262222867
5	13.388839533692725	52.514852935309975	9083	13.3891573	52.5149329	0.03637743422266228
6	13.437028142857145	52.508683285714284	5890	13.436072	52.5095208	0.13967118223920685
7	13.458221105691054	52.511206097560965	7848	13.4570553	52.5117097	0.14060714043445044
8	13.354412434782608	52.49730473913044	1760	13.3542114	52.4991671	0.20272211067368898
9	13.428344860465119	52.493438139534895	7564	13.4296219	52.4981705	0.5311607487519661
10	13.406784934065936	52.52424227747253	3414	13.4063344	52.524937	0.09031301502416883
11	13.549163	52.44203100000001	8482	13.548115	52.4379246	0.4589456611078257
12	13.4226641	52.53542430000001	4294	13.4237743	52.5381597	0.32057621243183
13	13.402031785714287	52.529376130952386	1620	13.4018634	52.5289916	0.045613597278295455
14	13.36739675	52.55165225	2928	13.3673953	52.5516727	0.0022182003805640113
15	13.199976500000002	52.53515649999999	5577	13.199972	52.5352967	0.015185904830870421
16	13.340453666666667	52.48851466666667	6336	13.3405885	52.4885602	0.015781449880556835
17	13.436956666666667	52.53389933333333	2407	13.4372371	52.534038	0.03460168188584096
18	13.4523215	52.51950564285713	11481	13.4522489	52.5193575	0.01793978424863154
19	13.412680101265824	52.54870244303797	3192	13.4132305	52.54767	0.12734241043604333
20	13.596391	52.533838	6573	13.5940534	52.5336923	0.2604061841075674
21	13.296418	52.54854	1177	13.2966555	52.5481231	0.052275676277444366
22	13.575301999999999	52.512653	6812	13.5748713	52.5131218	0.06972276476430059
23	13.290303150943394	52.554281754716975	1179	13.2937552	52.5481844	0.7633616325931317
24	13.413084	52.571486	7789	13.4140199	52.5720563	0.12097536156536233
25	13.421653	52.5523345	10044	13.4233159	52.5526377	0.18779176988033483
26	13.461910500000002	52.49376049999999	12168	13.4613161	52.4943633	0.09283205802273804
27	13.435020384615386	52.51018976923078	9727	13.4354875	52.5090304	0.13572045133467028
28	13.374591540229886	52.508928448275874	6255	13.3756565	52.5095304	0.13514185088876746
29	13.369262300000003	52.52510825	10058	13.3689228	52.5261803	0.1219656251710993
30	13.297234400000002	52.45596920000001	8558	13.3019148	52.4583076	0.5786941587783542
31	13.352939058823528	52.499275235294114	3210	13.3531286	52.4993801	0.023935609778016887
32	13.405819285714285	52.510666571428565	10162	13.4037815	52.5125603	0.30545347703364295
33	13.379961363636365	52.52270627272728	6182	13.3796531	52.5225909	0.036478861027406786
34	13.329793410447762	52.50397526119403	5986	13.3301566	52.5034815	0.06697110781755747
35	13.429767000000002	52.57829	3041	13.429225	52.5790817	0.10470918097964284
36	13.377038	52.43709499999999	9559	13.375061	52.4371013	0.2198337300523806
37	13.486831	52.540709	2982	13.48403	52.5396964	0.3301426567891894
38	13.327649	52.464670222222225	11675	13.3277092	52.4640536	0.06705369303565416
39	13.342762	52.54204300000001	1244	13.3401631	52.5397503	0.3808469823403941
40	13.549989000000002	52.430856999999996	9624	13.5495246	52.429733	0.13202253963637695
41	13.3512	52.484636	7945	13.3515239	52.4839316	0.08429084453303387
42	13.381501666666665	52.50758133333334	4017	13.379159	52.5070418	0.26695144673545185
43	13.446038	52.52203000000001	10729	13.445391	52.5255883	0.39148775745472214
44	13.370481	52.584521	7669	13.3674979	52.5863746	0.387607413520281
45	13.326204666666667	52.46279066666667	6248	13.3266795	52.4631557	0.06593751341938285
46	13.323143916666664	52.45971216666667	5428	13.3248687	52.4582721	0.2471066209759503
47	13.333739999999999	52.515074	7547	13.3342684	52.5133491	0.19566020398851583
48	13.439151999999998	52.5245755	10761	13.4394897	52.5240521	0.06792836750460951
49	13.511338	52.4558885	8439	13.5110798	52.4556772	0.036690637710721154
50	13.433447	52.526614	10703	13.4311349	52.5288868	0.3556970850648018
51	13.44533833333333	52.49944576190475	9619	13.4454408	52.4992536	0.02370026209617356
52	13.5103395	52.454788	7156	13.5112335	52.4554279	0.12111375649686822
53	13.317519999999998	52.441241000000005	11683	13.3161418	52.4404396	0.17608201354521422
54	13.380760333333333	52.51897399999999	1453	13.3802953	52.518906	0.052230019171035855
55	13.355310000000001	52.5416675	342	13.3550638	52.5440422	0.25836853623613726
56	13.306866933333335	52.50729253333334	5089	13.3065087	52.5067492	0.07101731079855571
57	13.30304	52.5049295	5091	13.3032461	52.5049613	0.023174214509836238
58	13.505999999999998	52.580313	2460	13.5032874	52.5758499	0.5690667476468636
59	13.544244142857142	52.543620857142855	11250	13.5430405	52.5443799	0.15699014990388444
60	13.430693333333334	52.52915	10701	13.4306469	52.5288303	0.034960226770634255
61	13.3274432	52.56342360000001	9979	13.3273386	52.5634241	0.011631131212025431
62	13.311742	52.512049	7920	13.3127492	52.5120851	0.11206378740924244
63	13.32146825	52.56555925	7402	13.317418	52.5666703	0.4661374125423832
64	13.400082666666664	52.50954400000001	4020	13.4001179	52.5095187	0.004778931055665872
65	13.38308118181818	52.50450236363636	293	13.3826882	52.5042776	0.05000651689871695
66	13.431648	52.50221545454545	8411	13.4320158	52.4994863	0.2979876263848637
67	13.424255666666667	52.53892922222222	6699	13.4242686	52.539041	0.012174781912640419
