Centroid_ID	Longitude	Latitude
0	13.420105	52.512958999999995
1	13.454980999999998	52.477553
2	13.449664749999997	52.5168225
3	13.41685260869565	52.54672717391304
4	13.388138493589741	52.52763541666667
5	13.388839533692723	52.51485293530997
6	13.437028142857143	52.50868328571428
7	13.458221105691056	52.51120609756097
8	13.354412434782608	52.497304739130435
9	13.428344860465119	52.49343813953489
10	13.406784934065934	52.524242277472524
11	13.549163	52.44203100000001
12	13.4226641	52.53542430000001
13	13.402031785714287	52.52937613095239
14	13.367396750000001	52.55165225
15	13.199976500000002	52.5351565
16	13.340453666666667	52.48851466666667
17	13.436956666666667	52.53389933333333
18	13.4523215	52.51950564285713
19	13.412680101265824	52.54870244303797
20	13.596391	52.533838
21	13.296418	52.54854
22	13.575302	52.512653
23	13.290303150943394	52.554281754716975
24	13.413084	52.571486
25	13.421653	52.5523345
26	13.461910500000002	52.49376049999999
27	13.435020384615383	52.51018976923077
28	13.374591540229886	52.508928448275874
29	13.3692623	52.52510825
30	13.297234400000002	52.455969200000006
31	13.35293905882353	52.499275235294114
32	13.405819285714285	52.510666571428565
33	13.379961363636363	52.52270627272728
34	13.329793410447762	52.50397526119403
35	13.429767000000002	52.57829
36	13.377038	52.43709499999999
37	13.486831	52.540709
38	13.327649000000001	52.464670222222225
39	13.342761999999999	52.54204300000001
40	13.549989	52.430857
41	13.3512	52.484636
42	13.381501666666665	52.50758133333334
43	13.446038	52.52203000000001
44	13.370481	52.584520999999995
45	13.326204666666667	52.46279066666667
46	13.323143916666666	52.45971216666667
47	13.33374	52.515074
48	13.439152	52.5245755
49	13.511338	52.4558885
50	13.433447	52.526614
51	13.44533833333333	52.49944576190476
52	13.510339499999999	52.454788
53	13.317519999999998	52.441241
54	13.380760333333333	52.51897399999999
55	13.35531	52.5416675
56	13.306866933333335	52.50729253333334
57	13.30304	52.5049295
58	13.506	52.580313000000004
59	13.544244142857142	52.54362085714286
60	13.430693333333336	52.529149999999994
61	13.327443200000001	52.56342360000001
62	13.311741999999999	52.512049
63	13.32146825	52.56555925
64	13.400082666666664	52.509544000000005
65	13.38308118181818	52.50450236363636
66	13.431648000000001	52.50221545454545
67	13.424255666666667	52.53892922222222
68	13.409972146067414	52.53972511235956
69	13.40563	52.54672975
70	13.38358125	52.55568375
71	13.38744	52.541180000000004
72	13.342691379999998	52.50197344
73	13.282186	52.509602
74	13.609476999999998	52.492826
75	13.616833999999999	52.491315
