Centroid_ID	Longitude	Latitude	NearLightlon	NearLightLat	DistanceStop
0	13.420105	52.512959	13.4194925	52.5142146	0.15192564328822308
1	13.454980999999998	52.477553	13.4556896	52.4729807	0.5007005171759037
2	13.449664749999995	52.516822499999996	13.4525257	52.519215	0.41005759272154885
3	13.41685260869565	52.54672717391304	13.4189621	52.5471362	0.23870056479892632
4	13.38813849358974	52.52763541666667	13.3869724	52.5273503	0.13328147716561534
5	13.388839533692725	52.514852935309975	13.38882	52.5169884	0.23100964905687882
6	13.437028142857145	52.508683285714284	13.4349112	52.5103817	0.29858139210188533
7	13.458221105691054	52.511206097560965	13.458491	52.5126725	0.16139387633580665
8	13.354412434782608	52.49730473913044	13.3537297	52.4995972	0.2593766542195755
9	13.428344860465119	52.493438139534895	13.4280355	52.4992628	0.6309058068235059
10	13.406784934065936	52.52424227747253	13.4065674	52.5252077	0.10718972479329343
11	13.549163	52.44203100000001	13.5489367	52.4382203	0.4127063800365305
12	13.4226641	52.53542430000001	13.4225029	52.5362333	0.08931670096390529
13	13.402031785714287	52.529376130952386	13.4019	52.5297422	0.04222117566273261
14	13.36739675	52.55165225	13.3671696	52.5514056	0.03674179809269485
15	13.199976500000002	52.53515649999999	13.1997742	52.5351709	0.02254871665486663
16	13.340453666666667	52.48851466666667	13.3405436	52.4885755	0.01197177821988087
17	13.436956666666667	52.53389933333333	13.4371245	52.5342216	0.03953539914794332
18	13.4523215	52.51950564285713	13.4522943	52.5196343	0.014238476554790356
19	13.412680101265824	52.54870244303797	13.4135734	52.5493619	0.12228753672603437
20	13.596391	52.533838	13.5964015	52.5338331	0.0012820418260083317
21	13.296418	52.54854	13.2933009	52.5362794	1.371307088907864
22	13.575301999999999	52.512653	13.5752134	52.5126122	0.01079387966392678
23	13.290303150943394	52.554281754716975	13.2861036	52.5366262	1.9668851336670032
24	13.413084	52.571486	13.4151516	52.5724332	0.25170087825414694
25	13.421653	52.5523345	13.4238019	52.5527208	0.24257245885789208
26	13.461910500000002	52.49376049999999	13.4618296	52.4938491	0.013142365402250278
27	13.435020384615386	52.51018976923078	13.4349112	52.5103817	0.024047493798389656
28	13.374591540229886	52.508928448275874	13.3759366	52.5092044	0.1525141031046888
29	13.369262300000003	52.52510825	13.3693321	52.5251951	0.012186734550573909
30	13.297234400000002	52.45596920000001	13.2897049	52.4574096	0.8516296566694601
31	13.352939058823528	52.499275235294114	13.3537297	52.4995972	0.09456456154007656
32	13.405819285714285	52.510666571428565	13.4041155	52.5112959	0.2013108172664085
33	13.379961363636365	52.52270627272728	13.3809897	52.5166047	0.6698791632320221
34	13.329793410447762	52.50397526119403	13.3314365	52.5038223	0.18345154793732846
35	13.429767000000002	52.57829	13.4295093	52.5780653	0.037572736365724974
36	13.377038	52.43709499999999	13.3875138	52.4396754	1.1978356599781455
37	13.486831	52.540709	13.4844148	52.5399029	0.28245480487720265
38	13.327649	52.464670222222225	13.3282601	52.4653254	0.09819789178384393
39	13.342762	52.54204300000001	13.3395775	52.5439128	0.4078152809528221
40	13.549989000000002	52.430856999999996	13.5462639	52.4372167	0.8026293347653465
41	13.3512	52.484636	13.3501694	52.4895529	0.5441632127202433
42	13.381501666666665	52.50758133333334	13.3782147	52.5091586	0.4033593397010875
43	13.446038	52.52203000000001	13.4457099	52.5257974	0.40906400911537677
44	13.370481	52.584521	13.3622403	52.5816944	0.966001874371478
45	13.326204666666667	52.46279066666667	13.3250946	52.461481	0.18792810453452072
46	13.323143916666664	52.45971216666667	13.3250946	52.461481	0.28927316234101574
47	13.333739999999999	52.515074	13.3364504	52.5143746	0.3107381566703966
48	13.439151999999998	52.5245755	13.4398394	52.5240678	0.09411297816339641
49	13.511338	52.4558885	13.5110449	52.4553413	0.06754504368955547
50	13.433447	52.526614	13.4334573	52.52323	0.365990962065826
51	13.44533833333333	52.49944576190475	13.4414625	52.5008341	0.45637945023186277
52	13.5103395	52.454788	13.5097653	52.4549058	0.06510613259768075
53	13.317519999999998	52.441241000000005	13.3071282	52.4479557	1.3649675727486514
